PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSCY;DSI;P7250;P7280;P744;P3074;P7260;P1806;P7430;P7440S1;P7440S2;P7450;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4;P7440
20231252;12;2023;7627428;1;2;1;70;;2;1930.8257783;44;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20231252;12;2023;7627432;1;2;1;70;;2;1930.8257783;44;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20231252;12;2023;7627437;1;1;1;70;;2;973.26945995;44;;1;1;4;1;;;48;600000;1;1;0;8;1;2;2;2;;1;600000;5223;9621;47;4711;
20231252;12;2023;7627440;1;2;1;70;;2;1042.4120509;44;1;;;;;1;;40;500000;1;99;0;6;4;1;2;2;;2;;.;7332;15;1513;
20231252;12;2023;7627441;1;1;1;70;;2;690.63412073;44;1;;;;;;;;;1;180;2;4;4;1;2;2;;2;;.;8323;49;4921;
20231252;12;2023;7627441;1;2;1;70;;2;690.63412073;44;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20231252;12;2023;7627442;1;1;1;70;;2;1029.6742622;44;1;;;;;;;;;1;8;2;8;3;1;2;2;;2;;.;9111;97;9700;
20231252;12;2023;7627443;1;2;1;70;;2;1029.6742622;44;1;;;;;;;;;1;60;0;4;3;1;2;2;;2;;.;9111;97;9700;
20231252;12;2023;7627445;1;2;1;70;;2;763.06724395;44;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20231252;12;2023;7627447;1;1;1;70;;1;1160.5377709;68;;1;1;2;3;;;48;1000000;1;3;0;8;3;1;2;2;;2;;9111;9111;97;9700;
20231252;12;2023;7627447;1;4;1;70;;1;1160.5377709;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20231252;12;2023;7627448;1;1;1;70;;1;834.10771185;68;1;;;;;;;;;1;72;0;4;1;3;2;2;;2;;.;9412;56;5611;
20231252;12;2023;7627450;1;2;1;70;;1;1850.0904345;68;1;;;;;1;;48;1160000;1;12;0;8;3;1;2;2;;2;;.;5311;97;9700;
20231252;12;2023;7627450;1;3;1;70;;1;1850.0904345;68;;1;1;8;4;;;48;1000000;2;;;;;;;2;;2;;5142;;;;
20231252;12;2023;7627452;1;1;1;70;;1;2317.3932727;68;1;;;;;;;;;1;28;5;3;7;3;1;2;;2;;.;9211;01;0123;
20231252;12;2023;7627452;1;3;1;70;;1;2317.3932727;68;1;;;;;;;;;1;8;5;3;1;2;2;2;;2;;.;5223;47;4711;
20231252;12;2023;7627453;1;3;1;70;;1;2023.6252815;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20231252;12;2023;7627453;1;4;1;70;;1;2023.6252815;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20231252;12;2023;7627454;1;2;1;70;;1;1456.6013467;68;1;;;;;;;;;1;2;5;3;3;1;2;2;;2;;.;9111;97;9700;
20231252;12;2023;7627454;1;3;1;70;;1;1456.6013467;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20231252;12;2023;7627456;1;1;1;70;;1;775.91127147;68;1;;;;;;;;;1;56;5;4;1;10;2;2;;2;;.;8331;49;4921;
20231252;12;2023;7627456;1;2;1;70;;1;775.91127147;68;1;;;;;;;;;1;120;5;3;3;1;2;2;;2;;.;9111;97;9700;
20231252;12;2023;7627457;1;1;1;70;;1;1289.9122987;68;1;;;;;;;;;1;120;0;3;1;3;2;2;;2;;.;5120;01;0114;
20231252;12;2023;7627458;1;1;1;70;;1;1163.7760926;68;1;;;;;;;;;1;45;0;4;4;1;2;2;;2;;.;9211;01;0111;
20231252;12;2023;7627458;1;2;1;70;;1;1163.7760926;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20231252;12;2023;7627459;1;2;1;70;;1;776.01854434;68;;2;1;28;1;;;48;2200000;1;28;0;8;4;7;2;2;;2;;2512;2511;84;8412;
20231252;12;2023;7627459;1;3;1;70;;1;776.01854434;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20231252;12;2023;7627460;1;2;1;70;;1;2064.8942105;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20231252;12;2023;7627462;1;3;1;70;;2;483.37132352;76;1;;;;;1;;40;1300000;2;;;;;;;2;;2;;.;.;;.;
