id,area,dpto,sexo,parent,edad,edu,ingreso,horas_semana,cotiza,lugar,meses,rama_4,rama_2,posic,fondo,cambiar,estable,t_actual,t_viaje,mas_h,medio,sintrab,n_comp,arl,caja,factor_exp,actividad,cotiza_fondo
7649071-1-1,Pereira,Risaralda,F,Jefe,47,Secundaria,NA,72,2,Local fijo u oficina,12,5611,56,Empleador,NA,No,Si,30,12,No,Moto,No tendria recursos,4 - 5,No,No,212.43336543,Actividades de servicios de comidas y bebidas,No cotiza
7632901-1-5,Cali,Valle,M,Otro pariente,27,Primaria,1160000,47,1,Local fijo u oficina,9,4321,43,Obrero,1,No,Si,0,30,No,Bus intermunicipal,Ayuda familiar,11 - 19,Si,Si,190.68990556,Actividades especializadas para la construcción de edificios y obras de ingeniería civil,Fondo privado
7649834-1-1,Cali,Valle,M,Jefe,63,Primaria,NA,60,2,Local fijo u oficina,12,4649,46,Autonomo,NA,No,Si,41,25,No,Auto particular,No lo ha considerado,2 - 3,No,No,971.26172129,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",No cotiza
7630413-1-1,Cartagena,Bolivar,F,Jefe,63,Universitaria,700000,24,2,En esta vivienda,12,1089,10,Autonomo,NA,No,Si,48,NA,No,No se desplaza,Ayuda familiar,Solo,No,No,297.38451108,Elaboración de productos alimenticios,No cotiza
7635751-1-1,Pasto,Narino,M,Jefe,45,Primaria,2000000,50,1,Local fijo u oficina,12,3110,31,Obrero,1,No,Si,108,15,No,Moto,No tendria recursos,6 - 10,Si,Si,218.85343138,"Fabricación de muebles, colchones y somieres",Fondo privado
7631915-1-1,Pasto,Narino,F,Jefe,54,Primaria,500000,44,2,Otra vivienda,12,8121,81,Autonomo,NA,Si,No,40,10,No,A pie,No tendria recursos,Solo,No,No,75.217296863,"Actividades de servicios a edificios y paisajismo (jardines, zonas verdes)",No cotiza
7632007-1-3,Cucuta,Nte Santander,M,Hijo,27,Universitaria,NA,60,2,Local fijo u oficina,12,4762,47,Trabajador familiar no remunerado,NA,No,Si,60,30,No,Auto particular,Ayuda familiar,4 - 5,No,No,296.23024493,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",No cotiza
7636032-1-1,Bucaramanga,Santander,F,Jefe,18,Técnico o tecnológico,1160000,47,1,Local fijo u oficina,6,8230,82,Obrero,2,No,No,0,10,No,Auto particular,Ayuda familiar,2 - 3,Si,Si,1364.9280706,Actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas,Colpensiones
7628591-1-1,Villavicencio,Meta,F,Jefe,65,Primaria,500000,24,2,Otra vivienda,12,8121,81,Autonomo,NA,No,Si,36,30,No,Bus urbano,No tendria recursos,Solo,No,No,334.48378499,"Actividades de servicios a edificios y paisajismo (jardines, zonas verdes)",No cotiza
7652332-1-3,Cartagena,Bolivar,M,Hijo,31,Secundaria,1200000,48,2,Kiosko,12,9602,96,Autonomo,NA,No,No,120,30,No,SITP,Ayuda familiar,Solo,No,No,440.2216784,Otras actividades de servicios personales,No cotiza
